platform;kind;username;url;sources_count;matched_terms;is_mutual_related;source_pages
telegram;community;aleks_storiesinsta;https://t.me/aleks_storiesinsta;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;ashomaban;https://t.me/ashomaban;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;creators;https://t.me/creators;1;актив, лайк, коммент, instagram, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/
telegram;community;FindYourChannelBot;https://t.me/FindYourChannelBot;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;inst_activ_ru;https://t.me/inst_activ_ru;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;lemonandmarketing;https://t.me/lemonandmarketing;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;llina_mi;https://t.me/llina_mi;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;mornuir;https://t.me/mornuir;1;актив, лайк, коммент, instagram, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/
telegram;community;pravila_inst;https://t.me/pravila_inst;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;ternyuk;https://t.me/ternyuk;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;tryghost;https://t.me/tryghost;1;актив, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/
