url;platform;kind;source_count;matched_instagram_terms;matched_mutual_terms;matched_service_terms;is_instagram_related;is_mutual_related;is_relevant;confidence;source_pages
https://yoast.com/product/yoast-seo-premium-wordpress/;web;service_or_article;11;instagram, insta, ig;взаим, engagement;premium, order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm | https://www.how2shout.com/how-to/how-to-use-claude-code-in-terminal.html
http://schema.org/QAPage;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
http://schema.org/Question;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/js/libs/bigimage/abigimage.jquery.js?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/js/libs/jquery/jquery-3.3.1.min.js?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/js/locales/fr/anonymous.js?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/merged/flat/Fonts/Fontello/fontello.ttf?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/merged/flat/Fonts/Lato/lato-regular.eot?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/merged/flat/Fonts/Lato/lato-regular.ttf?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
https://a.imdoc.fr/generated/v2/merged/flat/Fonts/Merriweather/merriweather-v22-latin-300.eot?v=1781766626;web;service_or_article;10;instagram, insta, ig;engagement;order;True;True;True;high;https://forum.doctissimo.fr/grossesse-bebe/grossesse-libre/enceinte-lesion-grade-sujet_165606_1.htm | https://forum.doctissimo.fr/psychologie/chomage-inactivite/peut-trouver-emploi-sujet_142682_1.htm | https://forum.doctissimo.fr/psychologie/temps/toucher-faisant-correspondance-sujet_131321_1.htm | https://forum.doctissimo.fr/sante/handicap/rqth-sujet_10282_1.htm | https://forum.doctissimo.fr/sante/handicap/tremblement-essentiel-considere-sujet_10371_1.htm | https://forum.doctissimo.fr/viepratique/travail/avis-metier-atsem-sujet_27368_1.htm | https://forum.doctissimo.fr/viepratique/travail/deposer-magasin-prendresujet_22885_1.htm | https://forum.doctissimo.fr/viepratique/travail/entretien-prealable-dire-sujet_19797_1.htm | https://forum.doctissimo.fr/viepratique/travail/formation-walter-learning-sujet_33590_1.htm | https://forum.doctissimo.fr/viepratique/travail/hesite-concours-administratif-sujet_32378_1.htm
